domain,season,metric,comparison,units,omitted_model,full_mean,leave_one_out_mean,full_sign,leave_one_out_sign,sign_changed,model_count
atlantic_southeast,DJF,pr_mean,G6solar - G6sulfur,mm/day,MPI-ESM1-2-LR,0.0088730,-0.0196952,1,-1,True,3
atlantic_southeast,DJF,pr_mean,G6solar - G6sulfur,mm/day,UKESM1-0-LL,0.0088730,0.0038469,1,1,False,3
atlantic_southeast,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.1415350,-0.1929169,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.1415350,-0.0732686,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.1415350,-0.0965109,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,UKESM1-0-LL,-0.1415350,-0.2034438,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.1504081,-0.2271781,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.1504081,-0.0903478,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.1504081,-0.0768157,-1,-1,False,3
atlantic_southeast,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,UKESM1-0-LL,-0.1504081,-0.2072907,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - G6sulfur,degC,CNRM-ESM2-1,-0.8587142,-1.1943193,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - G6sulfur,degC,IPSL-CM6A-LR,-0.8587142,-0.8450340,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - G6sulfur,degC,MPI-ESM1-2-LR,-0.8587142,-0.4172932,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - G6sulfur,degC,UKESM1-0-LL,-0.8587142,-0.9782103,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,CNRM-ESM2-1,-1.6181686,-1.7914459,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,IPSL-CM6A-LR,-1.6181686,-1.3981652,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,MPI-ESM1-2-LR,-1.6181686,-1.7701572,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,UKESM1-0-LL,-1.6181686,-1.5129063,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,CNRM-ESM2-1,-0.7594544,-0.5971266,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,IPSL-CM6A-LR,-0.7594544,-0.5531311,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,MPI-ESM1-2-LR,-0.7594544,-1.3528640,-1,-1,False,3
atlantic_southeast,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,UKESM1-0-LL,-0.7594544,-0.5346960,-1,-1,False,3
atlantic_southeast,JJA,pr_mean,G6solar - G6sulfur,mm/day,CNRM-ESM2-1,0.0388296,0.0351899,1,1,False,3
atlantic_southeast,JJA,pr_mean,G6solar - G6sulfur,mm/day,IPSL-CM6A-LR,0.0388296,-0.0285057,1,-1,True,3
atlantic_southeast,JJA,pr_mean,G6solar - G6sulfur,mm/day,MPI-ESM1-2-LR,0.0388296,0.1295861,1,1,False,3
atlantic_southeast,JJA,pr_mean,G6solar - G6sulfur,mm/day,UKESM1-0-LL,0.0388296,0.0190483,1,1,False,3
atlantic_southeast,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.0092434,-0.0510771,-1,-1,False,3
atlantic_southeast,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.0092434,0.0172297,-1,1,True,3
atlantic_southeast,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.0092434,0.0295549,-1,1,True,3
atlantic_southeast,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,UKESM1-0-LL,-0.0092434,-0.0326811,-1,-1,False,3
atlantic_southeast,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.0480730,-0.0862670,-1,-1,False,3
atlantic_southeast,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.0480730,0.0457354,-1,1,True,3
atlantic_southeast,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.0480730,-0.1000311,-1,-1,False,3
atlantic_southeast,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,UKESM1-0-LL,-0.0480730,-0.0517294,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - G6sulfur,degC,CNRM-ESM2-1,-0.2569032,-0.3025781,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - G6sulfur,degC,IPSL-CM6A-LR,-0.2569032,-0.1921530,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - G6sulfur,degC,MPI-ESM1-2-LR,-0.2569032,-0.2749852,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - G6sulfur,degC,UKESM1-0-LL,-0.2569032,-0.2578965,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,CNRM-ESM2-1,-2.2169448,-2.3146491,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,IPSL-CM6A-LR,-2.2169448,-2.1948057,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,MPI-ESM1-2-LR,-2.2169448,-2.3790864,-1,-1,False,3
atlantic_southeast,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,UKESM1-0-LL,-2.2169448,-1.9792382,-1,-1,False,3
