model,variant_label,grid_label,comparison,season,metric,units,period,represented_area_km2,contributing_cells,equivalent_cells,value,domain
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,0.1186949,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.4620621,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.0962086,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.8155200,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,0.0085857,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.7208285,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.0630910,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.5460656,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.0520069,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.6075020,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,0.0859121,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,1862340.4880689,133,91.5419063,-1.5247053,southeast_land
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,1862340.4880689,133,91.5419063,-0.3062991,southeast_land
