model,variant_label,grid_label,scenario,season,metric,units,period,calendar,represented_area_km2,contributing_cells,equivalent_cells,domain,value
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,9.6625430
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,24.2095725
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,3.9305920
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,30.5549719
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,28.2016430
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,55.0043873
MPI-ESM1-2-LR,r2i1p1f1,gn,G6sulfur,SON,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,35.0425345
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,32.9450701
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,43.7157957
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,170.8876759
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,18.6036232
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,256.1487137
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,50.4379973
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,97.3623986
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,ANN,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,39.2409244
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,16.7620908
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,7.7651282
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,20.7075993
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,3.9245058
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,96.5007637
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,40.6369653
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,72.5863066
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,DJF,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,25.8648854
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,20.1993830
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,36.4554245
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,68.2675041
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,4.5996727
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,21.7384610
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,24.7206104
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,63.1409257
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,JJA,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,39.1785855
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,15.4918126
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,14.9306491
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,41.7945983
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,5.7414979
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,94.0417045
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,40.6225510
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,76.4591820
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,MAM,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,33.8967898
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,23.6429751
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,15.4442436
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,38.5078641
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,4.9891797
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,45.5417147
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,33.1760318
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,60.6401289
MPI-ESM1-2-LR,r2i1p1f1,gn,ssp585,SON,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,36.4569841
