model,variant_label,grid_label,domain,metric,units,season,comparison,mean_difference,median_difference,paired_interannual_sd,standard_error,standardized_effect_size,minimum_difference,maximum_difference,year_count,fraction_positive,fraction_negative,fraction_zero,lag1_autocorrelation,ci_lower,ci_upper,interval_classification,zero_inside_interval,bootstrap_replicates,block_length_years
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,JJA,G6sulfur - SSP5-8.5,-0.1393197,-0.0935273,0.6394175,0.1167411,-0.2178854,-1.1775207,1.5532761,30,0.4333333,0.5666667,0.0000000,-0.1354504,-0.3207054,0.0548445,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,MAM,G6solar - G6sulfur,-0.0423397,0.0380044,0.7571718,0.1382400,-0.0559183,-1.6950337,1.5681771,30,0.5333333,0.4666667,0.0000000,-0.0873954,-0.1962631,0.1173901,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,MAM,G6solar - SSP5-8.5,0.2379191,0.1977582,0.7351952,0.1342277,0.3236135,-1.6880251,1.4945006,30,0.6666667,0.3333333,0.0000000,0.0952714,-0.0019048,0.4857686,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,MAM,G6sulfur - SSP5-8.5,0.2802589,0.2245709,0.9465802,0.1728211,0.2960751,-1.3092313,2.2931260,30,0.5333333,0.4666667,0.0000000,-0.0234777,0.0850765,0.4917662,above_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,SON,G6solar - G6sulfur,-0.0220915,0.1772427,0.7996070,0.1459876,-0.0276279,-1.6359961,1.5599345,30,0.5333333,0.4666667,0.0000000,-0.2617688,-0.2659864,0.2045756,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,SON,G6solar - SSP5-8.5,-0.2296848,-0.1973501,0.8270802,0.1510035,-0.2777056,-1.7581949,1.2913923,30,0.3000000,0.7000000,0.0000000,0.1970429,-0.5860648,0.1181586,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,pr_mean,mm/day,SON,G6sulfur - SSP5-8.5,-0.2075933,-0.3981395,0.9014488,0.1645813,-0.2302886,-1.6025285,1.4348676,30,0.4000000,0.6000000,0.0000000,-0.1960013,-0.4683191,0.0696542,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,ANN,G6solar - G6sulfur,-0.0640376,-0.0297821,0.5581635,0.1019062,-0.1147290,-1.4115575,0.7387793,30,0.4666667,0.5333333,0.0000000,-0.1163314,-0.2360218,0.1162303,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,ANN,G6solar - SSP5-8.5,-1.4808897,-1.2986096,0.7698577,0.1405561,-1.9235889,-3.3291033,-0.2111193,30,0.0000000,1.0000000,0.0000000,0.4237580,-1.9183628,-1.0827610,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,ANN,G6sulfur - SSP5-8.5,-1.4168521,-1.3621039,0.7183828,0.1311582,-1.9722801,-2.8118277,-0.2299110,30,0.0000000,1.0000000,0.0000000,0.2934211,-1.7763028,-1.0870708,below_zero,False,10000,5
