domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
atlantic_southeast,MAM,tasmax_mean,G6solar - SSP5-8.5,degC,-1.9879135,-1.9895873,0.3882280,-2.3879231,-1.5845565,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,MAM,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.7430054,-1.8170960,0.4629518,-2.2259646,-1.1118650,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,SON,pr_mean,G6solar - G6sulfur,mm/day,0.0321428,0.0209771,0.1695322,-0.1629629,0.2495800,4,3,1,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,SON,pr_mean,G6solar - SSP5-8.5,mm/day,-0.2967312,-0.3014175,0.2174270,-0.4878026,-0.0962870,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,SON,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.3288740,-0.4184564,0.2587372,-0.5205355,0.0419524,4,1,3,0,0.7500000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,SON,tasmax_mean,G6solar - G6sulfur,degC,-0.3767812,-0.3411145,0.3324417,-0.7983098,-0.0265860,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,SON,tasmax_mean,G6solar - SSP5-8.5,degC,-2.1949340,-2.0803042,0.5694642,-2.9857088,-1.6334187,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
atlantic_southeast,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.8181528,-1.6404349,0.6607393,-2.7643550,-1.2273864,4,0,4,0,1.0000000,583809.8853028,36,53,16.1598165,28.6857876
gulf_coast,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0105678,0.0251550,0.0704243,-0.0866398,0.0786008,4,3,1,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,-0.0315312,0.0041558,0.0829705,-0.1549395,0.0205029,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
